city,county,state,lat,lng
Sunrise Springs,Apache,AZ,-109.7476206,35.6018444
Allentown,Apache,AZ,-109.158426,35.291969
Los Burros,Apache,AZ,-109.7770457,34.1414335
Oak Springs,Apache,AZ,-109.1297943,35.4755773
Heap Place,Apache,AZ,-109.4081578,34.5836456
Tsaile,Apache,AZ,-109.1901071,36.290311
Boneyard,Apache,AZ,-109.2723038,33.8792177
Concho,Apache,AZ,-109.6059405,34.4753132
Eagar,Apache,AZ,-109.291475,34.1111581
Alpine,Apache,AZ,-109.142226,33.8485353
Tsintaa Yiti Ii,Apache,AZ,-109.8123348,35.8255641
Tanner Springs,Apache,AZ,-109.68567,35.2883528
Paulcell Place,Apache,AZ,-109.8259491,34.9619703
Fort Defiance,Apache,AZ,-109.076482,35.7444603
Hunters Point,Apache,AZ,-109.103356,35.5488308
Chambers,Apache,AZ,-109.4336559,35.189435
Twin Falls,Apache,AZ,-109.1026018,36.8636102
Wheatfields,Apache,AZ,-109.12631,36.2382416
Houck,Apache,AZ,-109.2145492,35.2854449
White Clay,Apache,AZ,-109.218711,36.0650068
Mexican Water Trading Post,Apache,AZ,-109.603618,36.9241275
Rock Point,Apache,AZ,-109.624514,36.7170573
Chetco,Apache,AZ,-109.3342673,35.2164137
Lower Wheatfields,Apache,AZ,-109.1359323,36.2041713
Del Muerto,Apache,AZ,-109.442883,36.1847258
McNary,Apache,AZ,-109.8537511,34.0746991
Springerville,Apache,AZ,-109.2860081,34.1340599
Cornfields,Apache,AZ,-109.679275,35.652235
Salado,Apache,AZ,-109.4109913,34.4338722
Bonita Trading Post,Apache,AZ,-109.0703715,35.7364049
Greer,Apache,AZ,-109.4587014,34.0100477
Window Rock,Apache,AZ,-109.058149,35.6763274
Yazzi,Apache,AZ,-109.224268,36.5791674
Cottonwood,Apache,AZ,-109.890999,36.0746354
Burnside,Apache,AZ,-109.626352,35.752268
Round Rock,Apache,AZ,-109.473439,36.5130564
Lupton,Apache,AZ,-109.053701,35.3539127
Blue Gap,Apache,AZ,-109.946506,36.1708352
Tes Nez Iah,Apache,AZ,-109.7089323,36.9419601
Diamond Fields,Apache,AZ,-109.890117,36.8127794
Toyei,Apache,AZ,-109.938172,35.7025091
Totacon,Apache,AZ,-109.4172173,36.8629118
Teec Nos Pos,Apache,AZ,-109.0963926,36.9231409
Horse Mesa,Apache,AZ,-109.0464866,36.705
Coyote Springs,Apache,AZ,-109.716222,36.2605572
Sawmill,Apache,AZ,-109.162991,35.900759
Maverick,Apache,AZ,-109.5473111,33.742829
Vernon,Apache,AZ,-109.6928828,34.2575361
Flat Rock,Apache,AZ,-109.555662,36.0055622
Saint Michaels,Apache,AZ,-109.0937302,35.6512365
Dennehotso,Apache,AZ,-109.846239,36.8440622
Nutrioso,Apache,AZ,-109.2092478,33.953106
Hunt,Apache,AZ,-109.6276083,34.6100336
Navajo é Kin Łigaaí,Apache,AZ,-109.537964,35.1243353
Ganado,Apache,AZ,-109.542121,35.7116198
Steamboat,Apache,AZ,-109.850669,35.748065
Cove,Apache,AZ,-109.215224,36.5669697
Sand Springs,Apache,AZ,-109.702334,36.8394461
Nazlini,Apache,AZ,-109.447212,35.8994752
Lukachukai,Apache,AZ,-109.226751,36.4158307
Kinlichee,Apache,AZ,-109.425657,35.7561245
Rough Rock,Apache,AZ,-109.8667039,36.4111651
Kinney Junction,Apache,AZ,-109.773987,33.9172704
Troweek,Apache,AZ,-109.0606318,33.9289404
Many Farms,Apache,AZ,-109.617172,36.3531019
Mexican Water,Apache,AZ,-109.63789,36.9669462
El Tule,Apache,AZ,-109.3973191,34.3797616
St. Johns,Apache,AZ,-109.360932,34.5058698
Feaster,Apache,AZ,-109.1453578,33.9917171
Tahchee,Apache,AZ,-109.89456,36.2286124
Salina,Apache,AZ,-109.8673366,36.0222271
Emmanuel Mission,Apache,AZ,-109.397329,36.8022227
Pine Springs,Apache,AZ,-109.280097,35.4052998
Richville,Apache,AZ,-109.3553692,34.2861539
Rosebud,Apache,AZ,-109.2673061,34.0006051
Klagetoh,Apache,AZ,-109.52816,35.501962
Adamana,Apache,AZ,-109.8223383,34.9766921
Potter Place,Apache,AZ,-109.6556655,34.8111414
Pinta,Apache,AZ,-109.630668,35.0822462
Green Spot,Apache,AZ,-109.4037021,34.1897669
Wood Springs,Apache,AZ,-109.434547,35.8311225
Wide Ruins,Apache,AZ,-109.496494,35.4194639
Milkwater,Apache,AZ,-109.110653,36.0527857
Hawley Lake,Apache,AZ,-109.7470435,33.983936
Greer Place,Apache,AZ,-109.605108,34.6033666
Chinle,Apache,AZ,-109.581273,36.1621322
Sanders,Apache,AZ,-109.333711,35.2164137
Upper Wheatfields,Apache,AZ,-109.079819,36.2230603
Red Rock,Apache,AZ,-109.060653,36.6044451
Northwoods,Apache,AZ,-109.4567571,34.0283807
Woodland Valley Ranch,Apache,AZ,-109.1183459,34.6505102
McCarrell,Apache,AZ,-109.4865292,35.1667213
Nahata Dziil,Apache,AZ,-109.326553,35.0920925
Adeií Díwózhii Biiʼ Tó,Apache,AZ,-109.2488944,36.3695115
Junction Overlook,Apache,AZ,-109.4937018,36.1375024
Sehili,Apache,AZ,-109.169073,36.2793244
Tókʼi Hazbįʼí,Apache,AZ,-109.8788474,36.1277332
Totshoh,Apache,AZ,-109.2368878,36.4118517
Tʼiisyáázh Łání,Apache,AZ,-109.6087754,36.2656456
Ałchʼįʼáhootʼé,Apache,AZ,-109.7423697,35.610785
Béésh Biiʼtó,Apache,AZ,-109.9806258,35.772372
Choyojdolid,Apache,AZ,-109.3998926,35.718778
Kin Łigaaí,Apache,AZ,-109.7223142,35.5544316
Nátʼohchǫʼí,Apache,AZ,-109.5298899,35.7174305
Ndilkalí,Apache,AZ,-109.9552965,35.9038608
Navajo Springs,Apache,AZ,-109.4949358,35.100024
Red Mesa,Apache,AZ,-109.3509445,36.9610046
Bradberry,Cochise,AZ,-110.3125809,32.4103504
Village Meadows,Cochise,AZ,-110.2714688,31.5500953
Contention,Cochise,AZ,-110.2021489,31.7683834
Benson,Cochise,AZ,-110.2945174,31.9678611
Fenner,Cochise,AZ,-110.231317,31.9701775
Tully,Cochise,AZ,-110.1234032,31.9828606
Dragoon,Cochise,AZ,-110.0386795,32.0281367
East Pershing Plaza,Cochise,AZ,-110.3436914,31.5550948
Tombstone,Cochise,AZ,-110.0652028,31.714229
Benson Junction,Cochise,AZ,-110.198132,31.7392562
Nicksville,Cochise,AZ,-110.2431107,31.4378922
Palominas,Cochise,AZ,-110.1184106,31.3798232
Ramsey,Cochise,AZ,-110.3114692,31.4459318
De Anza Village,Cochise,AZ,-110.3423026,31.5517616
Mescal,Cochise,AZ,-110.4353531,31.9900824
Pomerene,Cochise,AZ,-110.286183,31.999527
Huachuca City,Cochise,AZ,-110.3339678,31.6278703
Chamiso,Cochise,AZ,-110.354518,31.9928603
Fry,Cochise,AZ,-110.29508,31.5567617
Apache Flats,Cochise,AZ,-110.3625803,31.5581502
Coronado Village,Cochise,AZ,-110.3478582,31.5487061
Hereford,Cochise,AZ,-110.0978554,31.4384325
Gatewood Housing,Cochise,AZ,-110.335358,31.5550948
Hookers Hot Springs,Cochise,AZ,-110.2381535,32.3353229
Miles Manor,Cochise,AZ,-110.3398025,31.558428
Curtiss,Cochise,AZ,-110.2297962,31.88453
Signal Village,Cochise,AZ,-110.3561916,31.5500949
Bonnie Blink,Cochise,AZ,-110.3723028,31.5467616
Saint David,Cochise,AZ,-110.2142399,31.9042517
Stark,Cochise,AZ,-110.0367427,31.3714901
West Pershing Plaza,Cochise,AZ,-110.349247,31.5550948
Boquillas,Cochise,AZ,-110.2281323,31.7720329
Miracle Valley,Cochise,AZ,-110.1517244,31.3831375
Escalante Crossing,Cochise,AZ,-110.2097966,31.8611973
Campstone,Cochise,AZ,-110.3464676,31.6434253
Sierra Vista,Cochise,AZ,-110.2997756,31.5545973
Bledsoe,Cochise,AZ,-110.306747,31.4478762
Johnson,Cochise,AZ,-110.0661806,32.1031341
Whetstone,Cochise,AZ,-110.3463928,31.6975586
Sierra Vista Estates,Cochise,AZ,-110.2548026,31.4834308
Cavalry Park,Cochise,AZ,-110.363136,31.552317
Cascabel,Cochise,AZ,-110.3795221,32.2914623
Elfrida,Cochise,AZ,-109.6870138,31.6853714
Double Adobe,Cochise,AZ,-109.6900706,31.4667657
Douglas,Cochise,AZ,-109.5383567,31.3471741
McNeal,Cochise,AZ,-109.6721511,31.6000188
Forrest,Cochise,AZ,-109.7275704,31.3667683
Courtland,Cochise,AZ,-109.8086819,31.7700905
Huachuca Terrace,Cochise,AZ,-109.9261011,31.3954612
Bisbee,Cochise,AZ,-109.928408,31.4481547
Cazador,Cochise,AZ,-109.422287,31.4914874
Tintown,Cochise,AZ,-109.8984074,31.4142668
Bowie,Cochise,AZ,-109.4870141,32.3262613
Bakerville,Cochise,AZ,-109.8872962,31.4228777
Bisbee Junction,Cochise,AZ,-109.8861844,31.3514908
Arizona Sun Sites,Cochise,AZ,-109.9589584,31.9167515
Calumet,Cochise,AZ,-109.607568,31.3542689
Saginaw,Cochise,AZ,-109.8834073,31.4292664
Sunizona,Cochise,AZ,-109.6533992,31.8820329
Dos Cabezas,Cochise,AZ,-109.6133977,32.1753571
Black Diamond,Cochise,AZ,-109.9067375,31.8436986
Cochise,Cochise,AZ,-109.9211642,32.1139875
Don Luis,Cochise,AZ,-109.916741,31.4026004
Paul Spur,Cochise,AZ,-109.7345151,31.3662127
Warren,Cochise,AZ,-109.8774735,31.4133669
Paradise,Cochise,AZ,-109.2189503,31.9348131
Pearce,Cochise,AZ,-109.8206232,31.9050865
Neff,Cochise,AZ,-109.9797986,31.4792648
Chiricahua,Cochise,AZ,-109.240616,31.5923207
Gleeson,Cochise,AZ,-109.8297941,31.7339802
Highland Park,Cochise,AZ,-109.9409086,31.4506546
Pirtleville,Cochise,AZ,-109.5686913,31.359587
Manzoro,Cochise,AZ,-109.9709,32.0448029
Briggs,Cochise,AZ,-109.8970186,31.4184333
Apache,Cochise,AZ,-109.1322817,31.6903753
Corta Junction,Cochise,AZ,-109.883684,31.3962117
Hilltop,Cochise,AZ,-109.2775617,31.9945331
Bernardino,Cochise,AZ,-109.3128407,31.5106544
Galena,Cochise,AZ,-109.8931296,31.4220443
Lowell,Cochise,AZ,-109.8936853,31.4278776
Galeyville,Cochise,AZ,-109.2180731,31.952856
Portal,Cochise,AZ,-109.1414262,31.9135924
San Simon,Cochise,AZ,-109.2270613,32.2665117
Grizzles Orchard,Cochise,AZ,-109.74868,31.7542582
Naco,Cochise,AZ,-109.9478251,31.3373721
Willcox,Cochise,AZ,-109.8315759,32.2529138
Winchester Heights,Cochise,AZ,-109.9269891,32.4130268
Marble Canyon,Coconino,AZ,-111.637661,36.8155432
Supai,Coconino,AZ,-112.689549,36.2367074
Bellemont,Coconino,AZ,-111.8334974,35.2380657
Lechee,Coconino,AZ,-110.7529145,35.0322421
Maine,Coconino,AZ,-111.9384966,35.2530665
Cameron,Coconino,AZ,-111.411918,35.8740383
Willow Springs,Coconino,AZ,-111.3899265,36.185105
Forest Lakes Estates,Coconino,AZ,-110.7998477,34.3389284
Bishop Place,Coconino,AZ,-112.7229576,35.4602779
Mountainaire,Coconino,AZ,-111.6659925,35.0852924
Rose Well Camp,Coconino,AZ,-112.8752411,35.743976
Pilgrim Playground,Coconino,AZ,-111.4818172,34.9619657
Fredonia,Coconino,AZ,-112.526588,36.945542
Gray Mountain,Coconino,AZ,-111.473479,35.7458313
Tusayan,Coconino,AZ,-112.126556,35.9735954
Cane,Coconino,AZ,-112.0037839,36.5677638
Pumpkin Center,Coconino,AZ,-111.9159947,35.4147281
Munds Park,Coconino,AZ,-111.6401551,34.945574
Tonalea,Coconino,AZ,-110.951144,36.3228528
Tolani Lake,Coconino,AZ,-110.844583,35.4347309
Canyon Diablo,Coconino,AZ,-111.117644,35.1627902
Sunrise,Coconino,AZ,-110.9902613,35.2978375
Grand Canyon Village,Coconino,AZ,-112.1406308,36.0545151
Wahweap,Coconino,AZ,-111.4905869,36.9924728
Indian Gardens,Coconino,AZ,-111.7271013,34.9139058
LeChee,Coconino,AZ,-111.446122,36.8615759
Hidden Springs Mission,Coconino,AZ,-111.394865,36.1891572
Tolchico,Coconino,AZ,-111.108676,35.3989866
Winona,Coconino,AZ,-111.4082096,35.2050122
Kachina Village,Coconino,AZ,-111.6926602,35.0969581
Parks,Coconino,AZ,-111.9485469,35.260615
Lakeview,Coconino,AZ,-111.4470936,34.9091874
Happy Jack,Coconino,AZ,-111.4093051,34.7428521
Corva,Coconino,AZ,-112.349341,35.2752884
Valle;Chevron,Coconino,AZ,-112.138521,35.6529566
Booze Crossing,Coconino,AZ,-112.6010302,36.8166537
Tuba City,Coconino,AZ,-111.240303,36.1355819
Cow Springs,Coconino,AZ,-110.8249822,36.4150031
Winslow West,Coconino,AZ,-110.7529145,35.0322421
Sherwood Forest Estates,Coconino,AZ,-112.0448866,35.2405676
Tempe Camp,Coconino,AZ,-111.4423713,34.9077985
Kaibeto,Coconino,AZ,-111.085311,36.5908925
Bitter Springs,Coconino,AZ,-111.656311,36.6246328
Mormon Lake,Coconino,AZ,-111.4632051,34.9083543
Moenave,Coconino,AZ,-111.337363,36.1386029
Leupp,Coconino,AZ,-111.006193,35.2982231
Rare Metals,Coconino,AZ,-111.136252,36.1494373
Moenkopi,Coconino,AZ,-111.222362,36.1111044
Stoneman Lake,Coconino,AZ,-111.5126495,34.7814099
Wolf Crossing,Coconino,AZ,-111.1051904,35.3936541
Page,Coconino,AZ,-111.457294,36.9148305
Old Leupp,Coconino,AZ,-110.9655255,35.282964
Daze,Coconino,AZ,-112.404343,35.2489002
Bird Springs,Coconino,AZ,-110.770514,35.3070062
Williams,Coconino,AZ,-112.1869481,35.2503394
Flagstaff,Coconino,AZ,-111.6518229,35.1987522
Bodaway Gap,Coconino,AZ,-111.460621,36.3039751
North Rim,Coconino,AZ,-112.0527079,36.1998553
Marble Canyon,Coconino,AZ,-111.637661,36.8155432
Supai,Coconino,AZ,-112.689549,36.2367074
Bellemont,Coconino,AZ,-111.8334974,35.2380657
Lechee,Coconino,AZ,-110.7529145,35.0322421
Maine,Coconino,AZ,-111.9384966,35.2530665
Cameron,Coconino,AZ,-111.411918,35.8740383
Willow Springs,Coconino,AZ,-111.3899265,36.185105
Forest Lakes Estates,Coconino,AZ,-110.7998477,34.3389284
Bishop Place,Coconino,AZ,-112.7229576,35.4602779
Mountainaire,Coconino,AZ,-111.6659925,35.0852924
Rose Well Camp,Coconino,AZ,-112.8752411,35.743976
Pilgrim Playground,Coconino,AZ,-111.4818172,34.9619657
Fredonia,Coconino,AZ,-112.526588,36.945542
Gray Mountain,Coconino,AZ,-111.473479,35.7458313
Tusayan,Coconino,AZ,-112.126556,35.9735954
Cane,Coconino,AZ,-112.0037839,36.5677638
Pumpkin Center,Coconino,AZ,-111.9159947,35.4147281
Munds Park,Coconino,AZ,-111.6401551,34.945574
Tonalea,Coconino,AZ,-110.951144,36.3228528
Tolani Lake,Coconino,AZ,-110.844583,35.4347309
Canyon Diablo,Coconino,AZ,-111.117644,35.1627902
Sunrise,Coconino,AZ,-110.9902613,35.2978375
Grand Canyon Village,Coconino,AZ,-112.1406308,36.0545151
Wahweap,Coconino,AZ,-111.4905869,36.9924728
Indian Gardens,Coconino,AZ,-111.7271013,34.9139058
LeChee,Coconino,AZ,-111.446122,36.8615759
Hidden Springs Mission,Coconino,AZ,-111.394865,36.1891572
Tolchico,Coconino,AZ,-111.108676,35.3989866
Winona,Coconino,AZ,-111.4082096,35.2050122
Kachina Village,Coconino,AZ,-111.6926602,35.0969581
Parks,Coconino,AZ,-111.9485469,35.260615
Lakeview,Coconino,AZ,-111.4470936,34.9091874
Happy Jack,Coconino,AZ,-111.4093051,34.7428521
Corva,Coconino,AZ,-112.349341,35.2752884
Valle Chevron,Coconino,AZ,-112.138521,35.6529566
Booze Crossing,Coconino,AZ,-112.6010302,36.8166537
Tuba City,Coconino,AZ,-111.240303,36.1355819
Cow Springs,Coconino,AZ,-110.8249822,36.4150031
Winslow West,Coconino,AZ,-110.7529145,35.0322421
Sherwood Forest Estates,Coconino,AZ,-112.0448866,35.2405676
Tempe Camp,Coconino,AZ,-111.4423713,34.9077985
Kaibeto,Coconino,AZ,-111.085311,36.5908925
Bitter Springs,Coconino,AZ,-111.656311,36.6246328
Mormon Lake,Coconino,AZ,-111.4632051,34.9083543
Moenave,Coconino,AZ,-111.337363,36.1386029
Leupp,Coconino,AZ,-111.006193,35.2982231
Rare Metals,Coconino,AZ,-111.136252,36.1494373
Moenkopi,Coconino,AZ,-111.222362,36.1111044
Stoneman Lake,Coconino,AZ,-111.5126495,34.7814099
Wolf Crossing,Coconino,AZ,-111.1051904,35.3936541
Page,Coconino,AZ,-111.457294,36.9148305
Old Leupp,Coconino,AZ,-110.9655255,35.282964
Daze,Coconino,AZ,-112.404343,35.2489002
Bird Springs,Coconino,AZ,-110.770514,35.3070062
Williams,Coconino,AZ,-112.1869481,35.2503394
Flagstaff,Coconino,AZ,-111.6518229,35.1987522
Bodaway Gap,Coconino,AZ,-111.460621,36.3039751
North Rim,Coconino,AZ,-112.0527079,36.1998553
Inscription House,Coconino,AZ,-110.7592676,36.6537826
Cedar Ridge,Coconino,AZ,-111.5229059,36.3929784
Coal Mine Mesa,Coconino,AZ,-111.03099,35.9912794
Béésh Biwooʼí,Coconino,AZ,-111.1485024,35.9171509
Black Falls,Coconino,AZ,-111.2691764,35.5684797
Black Falls,Coconino,AZ,-111.0962204,35.5754905
Tonto Estate,Gila,AZ,-111.0945763,34.3589229
Bonita Creek Estates,Gila,AZ,-111.2243011,34.3786425
Christmas,Gila,AZ,-110.7426052,33.0622863
Strawberry,Gila,AZ,-111.4952229,34.4068363
Globe,Gila,AZ,-110.787134,33.3959623
Central Heights,Gila,AZ,-110.8148328,33.412555
Pinal,Gila,AZ,-110.7537196,33.3761673
McMillianville,Gila,AZ,-110.6798301,33.5572752
Roosevelt Lake Gardens West,Gila,AZ,-111.3062422,33.8505995
Dehorn,Gila,AZ,-110.1795409,33.5269975
Sleepy Hollow,Gila,AZ,-110.9454367,34.2848792
Beaver Valley Estates,Gila,AZ,-111.2971863,34.3360676
La Cienega,Gila,AZ,-111.1756891,34.3733656
Washington Park,Gila,AZ,-111.2672041,34.4238521
Hunter Creek Ranch,Gila,AZ,-111.0112406,34.3042039
Whispering Pines,Gila,AZ,-111.2834692,34.3711421
Cedar Creek,Gila,AZ,-110.1737157,33.8956044
Inspiration,Gila,AZ,-110.8834459,33.4125545
Lower Miami,Gila,AZ,-110.8556673,33.4067216
Verde Glen,Gila,AZ,-111.2706913,34.3972525
Freedom Acres,Gila,AZ,-111.3004135,34.3172549
Geronimo Estates,Gila,AZ,-111.358749,34.366975
Roosevelt,Gila,AZ,-111.1342893,33.6675484
Jakes Corner,Gila,AZ,-111.3192999,34.0105961
Aztec Lodge,Gila,AZ,-110.9690078,33.8450469
Cedar Creek Crossing,Gila,AZ,-110.2012154,33.8653272
Little Acres,Gila,AZ,-110.820944,33.3947776
Pine,Gila,AZ,-111.4555672,34.3842741
Copper Hill,Gila,AZ,-110.7645536,33.4303327
Fort McDonald,Gila,AZ,-111.3481918,34.2350348
Rocky Junction,Gila,AZ,-110.2489858,33.4775536
Mesa Del Caballo,Gila,AZ,-111.2951352,34.2855894
